Spot,rate,borrow,vol,maturity,American Price,European Price,AM/EU,Delta_am,Delta_eu,Vega_am,Vega_eu
62.0,0.0025,-0.004,0.1,50.0,2.99024733898011e-19,2.99024733898011e-19,1.0,3.6353309085345e-18,3.6353309085345e-18,4.15754024172577e-17,4.15754024172577e-17
62.0,0.0025,-0.004,0.1,60.0,3.85101365730811e-17,3.85101365730811e-17,1.0,3.05278189551095e-16,3.05278189551095e-16,3.42777324248029e-15,3.42777324248029e-15
64.0,0.0025,-0.004,0.1,10.0,3.26231188777486e-42,3.26231188777486e-42,1.0,2.8338326121846e-40,2.8338326121846e-40,1.21459565583276e-38,1.21459565583276e-38
64.0,0.0025,-0.004,0.1,20.0,-1.50272466337511e-29,-1.50272466337511e-29,1.0,2.00766650985036e-28,2.00766650985036e-28,-2.80780501454686e-27,-2.80780501454686e-27
64.0,0.0025,-0.004,0.1,30.0,3.99170563739083e-24,3.99170563739083e-24,1.0,8.00195944171556e-23,8.00195944171556e-23,1.28033450245408e-21,1.28033450245408e-21
64.0,0.0025,-0.004,0.1,40.0,2.12603860162178e-20,2.12603860162178e-20,1.0,3.27257845087688e-19,3.27257845087688e-19,3.80759403311421e-18,3.80759403311421e-18
64.0,0.0025,-0.004,0.1,50.0,1.55635849606358e-17,1.55635849606358e-17,1.0,8.45050387904618e-17,8.45050387904618e-17,1.32783464359286e-15,1.32783464359286e-15
64.0,0.0025,-0.004,0.1,60.0,1.20347702019067e-15,1.20347702019067e-15,1.0,6.77921268776806e-15,6.77921268776806e-15,7.37068117088037e-14,7.37068117088037e-14
66.0,0.0025,-0.004,0.1,10.0,-2.1277348452933e-38,-2.1277348452933e-38,1.0,1.88588908994388e-37,1.88588908994388e-37,-1.83854789115317e-35,-1.83854789115317e-35
66.0,0.0025,-0.004,0.1,20.0,1.6050650595124e-27,1.6050650595124e-27,1.0,1.22393945426277e-26,1.22393945426277e-26,5.98236523117488e-25,5.98236523117488e-25
66.0,0.0025,-0.004,0.1,30.0,6.77113608932746e-22,6.77113608932746e-22,1.0,4.36984958442695e-21,4.36984958442695e-21,1.12805164141989e-19,1.12805164141989e-19
66.0,0.0025,-0.004,0.1,40.0,1.81210172526343e-18,1.81210172526343e-18,1.0,1.14207061194472e-17,1.14207061194472e-17,1.78771479986148e-16,1.78771479986148e-16
66.0,0.0025,-0.004,0.1,50.0,3.96833285379378e-16,3.96833285379378e-16,1.0,2.78791933881254e-15,2.78791933881254e-15,2.78518959358702e-14,2.78518959358702e-14
66.0,0.0025,-0.004,0.1,60.0,2.98408415121718e-14,2.98408415121718e-14,1.0,1.22408518379677e-13,1.22408518379677e-13,1.33886613978502e-12,1.33886613978502e-12
68.0,0.0025,-0.004,0.1,10.0,-4.93753261899921e-36,-4.93753261899921e-36,1.0,7.53648216378952e-35,7.53648216378952e-35,-2.61627887344629e-33,-2.61627887344629e-33
68.0,0.0025,-0.004,0.1,20.0,-4.26875794593587e-26,-4.26875794593587e-26,1.0,2.70208792423218e-24,2.70208792423218e-24,1.65199620946831e-23,1.65199620946831e-23
68.0,0.0025,-0.004,0.1,30.0,2.01973345235141e-20,2.01973345235141e-20,1.0,3.23349086753084e-19,3.23349086753084e-19,3.55678545091447e-18,3.55678545091447e-18
68.0,0.0025,-0.004,0.1,40.0,5.21910953002684e-17,5.21910953002684e-17,1.0,4.52062600720889e-16,4.52062600720889e-16,4.47414495052928e-15,4.47414495052928e-15
68.0,0.0025,-0.004,0.1,50.0,1.64086943907294e-14,1.64086943907294e-14,1.0,4.62696418789039e-14,4.62696418789039e-14,7.19009583615874e-13,7.19009583615874e-13
68.0,0.0025,-0.004,0.1,60.0,6.22041449626283e-13,6.22041449626283e-13,1.0,2.4236677970954e-12,2.4236677970954e-12,2.09867478976778e-11,2.09867478976778e-11
70.0,0.0025,-0.004,0.1,10.0,3.20689512165104e-34,3.20689512165104e-34,1.0,2.60236974613917e-32,2.60236974613917e-32,5.45555253495289e-31,5.45555253495289e-31
70.0,0.0025,-0.004,0.1,20.0,2.32179683808983e-23,2.32179683808983e-23,1.0,2.02913397047671e-22,2.02913397047671e-22,5.00524114984074e-21,5.00524114984074e-21
70.0,0.0025,-0.004,0.1,30.0,2.59341187686566e-18,2.59341187686566e-18,1.0,1.47596062624848e-17,1.47596062624848e-17,2.4013992581084e-16,2.4013992581084e-16
70.0,0.0025,-0.004,0.1,40.0,2.80061460527127e-15,2.80061460527127e-15,1.0,1.31919925726976e-14,1.31919925726976e-14,1.49755212359197e-13,1.49755212359197e-13
70.0,0.0025,-0.004,0.1,50.0,3.2997597374747e-13,3.2997597374747e-13,1.0,1.41888542141428e-12,1.41888542141428e-12,1.18661240584906e-11,1.18661240584906e-11
70.0,0.0025,-0.004,0.1,60.0,1.33788412204845e-11,1.33788412204845e-11,1.0,3.61593835424481e-11,3.61593835424481e-11,3.1809303432451e-10,3.1809303432451e-10
72.0,0.0025,-0.004,0.1,10.0,-7.72166957871874e-31,-7.72166957871874e-31,1.0,1.34195995603242e-29,1.34195995603242e-29,-1.70085638364574e-28,-1.70085638364574e-28
